wl,B1,B2,B3,B4,B5
320,0,0,0,0,0
321,0,0,0,0,0
322,0,0,0,0,0
323,0,0,0,0,0
324,0,0,0,0,0
325,0,0,0,0,0
326,0,0,0,0,0
327,0,0,0,0,0
328,0,0,0,0,0
329,0,0,0,0,0
330,0,0,0,0,0
331,0,0,0,0,0
332,0,0,0,0,0
333,0,0,0,0,0
334,0,0,0,0,0
335,0,0,0,0,0
336,0,0,0,0,0
337,0,0,0,0,0
338,0,0,0,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,0,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0,0
345,0,0,0,0,0
346,0,0,0,0,0
347,0,0,0,0,0
348,0,0,0,0,0
349,0,0,0,0,0
350,0,0,0,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,0,0,0,0,0
354,0,0,0,0,0
355,0,0,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,0,0,0
359,0,0,0,0,0
360,0,0,0,0,0
361,0,0,0,0,0
362,0,0,0,0,0
363,0,0,0,0,0
364,0,0,0,0,0
365,0,0,0,0,0
366,0,0,0,0,0
367,0,0,0,0,0
368,0,0,0,0,0
369,0,0,0,0,0
370,0,0,0,0,0
371,0,0,0,0,0
372,0,0,0,0,0
373,0,0,0,0,0
374,0,0,0,0,0
375,0,0,0,0,0
376,0,0,0,0,0
377,0,0,0,0,0
378,0,0,0,0,0
379,0,0,0,0,0
380,0,0,0,0,0
381,0,0,0,0,0
382,0,0,0,0,0
383,0,0,0,0,0
384,0,0,0,0,0
385,0,0,0,0,0
386,0,0,0,0,0
387,0,0,0,0,0
388,0,0,0,0,0
389,0,0,0,0,0
390,0,0,0,0,0
391,0,0,0,0,0
392,0,0,0,0,0
393,0,0,0,0,0
394,0,0,0,0,0
395,0,0,0,0,0
396,0,0,0,0,0
397,0,0,0,0,0
398,0,0,0,0,0
399,0,0,0,0,0
400,0,0,0,0,0
401,0,0,0,0,0
402,0,0,0,0,0
403,0,0,0,0,0
404,0,0,0,0,0
405,0,0,0,0,0
406,0,0,0,0,0
407,0,0,0,0,0
408,0,0,0,0,0
409,0,0,0,0,0
410,0,0,0,0,0
411,0,0,0,0,0
412,0,0,0,0,0
413,0,0,0,0,0
414,0,0,0,0,0
415,0,0,0,0,0
416,0,0,0,0,0
417,0,0,0,0,0
418,0,0,0,0,0
419,0,0,0,0,0
420,0,0,0,0,0
421,0,0,0,0,0
422,0,0,0,0,0
423,0,0,0,0,0
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,0,0,0
427,7.3E-05,0,0,0,0
428,0.000609,0,0,0,0
429,0.001628,0,0,0,0
430,0.003421,0,0,0,0
431,0.008019,0,0,0,0
432,0.024767,0,0,0,0
433,0.085688,0,0,0,0
434,0.254149,0,0,0,0
435,0.517821,0,0,0,0
436,0.765117,1E-05,0,0,0
437,0.908749,6.1E-05,0,0,0
438,0.958204,0.000117,0,0,0
439,0.977393,0.000241,0,0,0
440,0.98379,0.000349,0,0,0
441,0.989052,0.000455,0,0,0
442,0.986713,0.000756,0,0,0
443,0.993683,0.001197,0,0,0
444,0.993137,0.00207,0,0,0
445,1,0.003712,0,0,0
446,0.996969,0.006869,0,0,0
447,0.98278,0.013212,0,0,0
448,0.972692,0.02717,0,0,0
449,0.905808,0.058606,0,0,0
450,0.745606,0.130876,0,0,0
451,0.471329,0.27137,0,0,0
452,0.226412,0.493542,0,0,0
453,0.09286,0.723971,0,0,0
454,0.036603,0.85751,0,0,0
455,0.014537,0.894222,0,0,0
456,0.005829,0.903034,0,0,0
457,0.002414,0.910928,0,0,0
458,0.000984,0.90988,0,0,0
459,0.000255,0.899475,0,0,0
460,0,0.897977,0,0,0
461,0,0.889667,0,0,0
462,0,0.883542,0,0,0
463,0,0.877453,0,0,0
464,0,0.881011,0,0,0
465,0,0.874721,0,0,0
466,0,0.879688,0,0,0
467,0,0.886569,0,0,0
468,0,0.891913,0,0,0
469,0,0.88768,0,0,0
470,0,0.861157,0,0,0
471,0,0.848533,0,0,0
472,0,0.840828,0,0,0
473,0,0.828339,0,0,0
474,0,0.844202,0,0,0
475,0,0.865864,0,0,0
476,0,0.868497,0,0,0
477,0,0.890253,0,0,0
478,0,0.912538,0,0,0
479,0,0.910385,0,0,0
480,0,0.918822,0,0,0
481,0,0.931726,0,0,0
482,0,0.931813,0,0,0
483,0,0.954248,0,0,0
484,0,0.955545,0,0,0
485,0,0.96242,0,0,0
486,0,0.956424,0,0,0
487,0,0.953352,0,0,0
488,0,0.978564,0,0,0
489,0,0.989104,0,0,0
490,0,0.985615,0,0,0
491,0,0.989469,0,0,0
492,0,0.982262,0,0,0
493,0,0.968801,0,0,0
494,0,0.967332,0,0,0
495,0,0.976836,0,0,0
496,0,0.988729,0,0,0
497,0,0.980826,0,0,0
498,0,0.967361,0,0,0
499,0,0.954754,0,0,0
500,0,0.964132,0,0,0
501,0,0.966125,0,0,0
502,0,0.966772,0,0,0
503,0,0.981834,0,0,0
504,0,0.98232,0,0,0
505,0,0.965685,0,0,0
506,0,0.963135,0,0,0
507,0,0.972261,0,0,0
508,0,0.996498,0,0,0
509,0,1,0,0,0
510,0,0.9556,0,0,0
511,0,0.844893,0,0,0
512,0,0.534592,-4.6E-05,0,0
513,0,0.190738,1.6E-05,0,0
514,0,0.048329,0.00011,0,0
515,0,0.013894,0.000247,0,0
516,0,0.005328,0.000362,0,0
517,0,0.002611,0.000648,0,0
518,0,0.001557,0.000935,0,0
519,0,0.0011,0.001332,0,0
520,0,0.000785,0.001816,0,0
521,0,0.000516,0.002515,0,0
522,0,0.000321,0.003446,0,0
523,0,0.000162,0.00488,0,0
524,0,7.2E-05,0.007024,0,0
525,0,5.7E-05,0.010441,0,0
526,0,2.3E-05,0.016247,0,0
527,0,3.2E-05,0.025513,0,0
528,0,-1.6E-05,0.041451,0,0
529,0,0,0.070551,0,0
530,0,0,0.123444,0,0
531,0,0,0.21168,0,0
532,0,0,0.353885,0,0
533,0,0,0.545856,0,0
534,0,0,0.741205,0,0
