wl,B1,B2,B3,B4,B5,B6,B7,B8,B8A
320,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0
359,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0
367,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0
371,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0
373,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0
379,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0
385,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0
392,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0,0
410,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0
412,0.001775742,0,0,0,0,0,0,0,0
413,0.004073061,0,0,0,0,0,0,0,0
414,0.003626143,0,0,0,0,0,0,0,0
415,0.003515199,0,0,0,0,0,0,0,0
416,0.005729163,0,0,0,0,0,0,0,0
417,0.003780292,0,0,0,0,0,0,0,0
418,0.002636732,0,0,0,0,0,0,0,0
419,0.001262113,0,0,0,0,0,0,0,0
420,0.001987583,0,0,0,0,0,0,0,0
421,0.001368913,0,0,0,0,0,0,0,0
422,0.001250444,0,0,0,0,0,0,0,0
423,0.000463454,0,0,0,0,0,0,0,0
424,0.000814293,0,0,0,0,0,0,0,0
425,0.001376431,0,0,0,0,0,0,0,0
426,0.001485086,0,0,0,0,0,0,0,0
427,0.001823735,0,0,0,0,0,0,0,0
428,0.001626817,0,0,0,0,0,0,0,0
429,0.004392062,0,0,0,0,0,0,0,0
430,0.029008099,0,0,0,0,0,0,0,0
431,0.118745933,0,0,0,0,0,0,0,0
432,0.323875058,0,0,0,0,0,0,0,0
433,0.572819207,0,0,0,0,0,0,0,0
434,0.714727494,0,0,0,0,0,0,0,0
435,0.761967778,0,0,0,0,0,0,0,0
436,0.789297016,0,0,0,0,0,0,0,0
437,0.808623866,0,0,0,0,0,0,0,0
438,0.810893815,0,0,0,0,0,0,0,0
439,0.824198756,0.010315429,0,0,0,0,0,0,0
440,0.854158107,0.030041933,0,0,0,0,0,0,0
441,0.870790877,0.026875891,0,0,0,0,0,0,0
442,0.887310969,0.02414315,0,0,0,0,0,0,0
443,0.926199242,0.020210064,0,0,0,0,0,0,0
444,0.982281495,0.022693489,0,0,0,0,0,0,0
445,1,0.024564087,0,0,0,0,0,0,0
446,0.975238202,0.016667005,0,0,0,0,0,0,0
447,0.93596338,0.021413132,0,0,0,0,0,0,0
448,0.889971481,0.016144221,0,0,0,0,0,0,0
449,0.850210477,0.021307208,0,0,0,0,0,0,0
450,0.825694526,0.018466093,0,0,0,0,0,0,0
451,0.783902388,0.018185017,0,0,0,0,0,0,0
452,0.614174215,0.017679055,0,0,0,0,0,0,0
453,0.330071087,0.019114826,0,0,0,0,0,0,0
454,0.124108313,0.019246427,0,0,0,0,0,0,0
455,0.04365694,0.027395745,0,0,0,0,0,0,0
456,0.014749595,0.042555308,0,0,0,0,0,0,0
457,0,0.072298295,0,0,0,0,0,0,0
458,0,0.153743222,0,0,0,0,0,0,0
459,0,0.32799225,0,0,0,0,0,0,0
460,0,0.553367878,0,0,0,0,0,0,0
461,0,0.710111663,0,0,0,0,0,0,0
462,0,0.752851788,0,0,0,0,0,0,0
463,0,0.75232691,0,0,0,0,0,0,0
464,0,0.756680807,0,0,0,0,0,0,0
465,0,0.763269482,0,0,0,0,0,0,0
466,0,0.76239425,0,0,0,0,0,0,0
467,0,0.785251503,0,0,0,0,0,0,0
468,0,0.815466688,0,0,0,0,0,0,0
469,0,0.861791756,0,0,0,0,0,0,0
470,0,0.892825992,0,0,0,0,0,0,0
471,0,0.919522103,0,0,0,0,0,0,0
472,0,0.919006495,0,0,0,0,0,0,0
473,0,0.913157536,0,0,0,0,0,0,0
474,0,0.900353663,0,0,0,0,0,0,0
475,0,0.889896935,0,0,0,0,0,0,0
476,0,0.882324603,0,0,0,0,0,0,0
477,0,0.876061177,0,0,0,0,0,0,0
478,0,0.884299872,0,0,0,0,0,0,0
479,0,0.906955442,0,0,0,0,0,0,0
480,0,0.932320853,0,0,0,0,0,0,0
481,0,0.939472521,0,0,0,0,0,0,0
482,0,0.943835429,0,0,0,0,0,0,0
483,0,0.922040861,0,0,0,0,0,0,0
484,0,0.886023105,0,0,0,0,0,0,0
485,0,0.847436088,0,0,0,0,0,0,0
486,0,0.812516871,0,0,0,0,0,0,0
487,0,0.782397097,0,0,0,0,0,0,0
488,0,0.7731087,0,0,0,0,0,0,0
489,0,0.772090538,0,0,0,0,0,0,0
490,0,0.787426523,0,0,0,0,0,0,0
491,0,0.812171771,0,0,0,0,0,0,0
492,0,0.846050519,0,0,0,0,0,0,0
493,0,0.887679959,0,0,0,0,0,0,0
494,0,0.927939973,0,0,0,0,0,0,0
495,0,0.950692347,0,0,0,0,0,0,0
496,0,0.965733107,0,0,0,0,0,0,0
497,0,0.969382533,0,0,0,0,0,0,0
498,0,0.965702943,0,0,0,0,0,0,0
499,0,0.95832003,0,0,0,0,0,0,0
500,0,0.954050638,0,0,0,0,0,0,0
501,0,0.951782684,0,0,0,0,0,0,0
502,0,0.956997215,0,0,0,0,0,0,0
503,0,0.965565145,0,0,0,0,0,0,0
504,0,0.977051397,0,0,0,0,0,0,0
505,0,0.977095739,0,0,0,0,0,0,0
506,0,0.974366055,0,0,0,0,0,0,0
507,0,0.959031834,0,0,0,0,0,0,0
508,0,0.935063176,0,0,0,0,0,0,0
509,0,0.90190134,0,0,0,0,0,0,0
510,0,0.871657924,0,0,0,0,0,0,0
511,0,0.844024435,0,0,0,0,0,0,0
512,0,0.822808519,0,0,0,0,0,0,0
513,0,0.815360426,0,0,0,0,0,0,0
514,0,0.820576391,0,0,0,0,0,0,0
515,0,0.839514898,0,0,0,0,0,0,0
516,0,0.86992171,0,0,0,0,0,0,0
517,0,0.915262055,0,0,0,0,0,0,0
518,0,0.960670278,0,0,0,0,0,0,0
519,0,0.991636995,0,0,0,0,0,0,0
520,0,1,0,0,0,0,0,0,0
521,0,0.98356097,0,0,0,0,0,0,0
522,0,0.91130763,0,0,0,0,0,0,0
523,0,0.740182556,0,0,0,0,0,0,0
524,0,0.503958576,0,0,0,0,0,0,0
525,0,0.305015502,0,0,0,0,0,0,0
526,0,0.180046045,0,0,0,0,0,0,0
527,0,0.107383424,0,0,0,0,0,0,0
528,0,0.06593592,0,0,0,0,0,0,0
529,0,0.042077455,0,0,0,0,0,0,0
530,0,0.026621288,0,0,0,0,0,0,0
531,0,0.0143396,0,0,0,0,0,0,0
532,0,0.002657787,0,0,0,0,0,0,0
533,0,0.000818224,0,0,0,0,0,0,0
534,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0,0,0
537,0,0,0,0,0,0,0,0,0
538,0,0,0.014481812,0,0,0,0,0,0
539,0,0,0.034222507,0,0,0,0,0,0
540,0,0,0.073463348,0,0,0,0,0,0
541,0,0,0.154448431,0,0,0,0,0,0
542,0,0,0.316614247,0,0,0,0,0,0
543,0,0,0.553222787,0,0,0,0,0,0
544,0,0,0.748594059,0,0,0,0,0,0
545,0,0,0.848903056,0,0,0,0,0,0
546,0,0,0.897722157,0,0,0,0,0,0
547,0,0,0.921536798,0,0,0,0,0,0
548,0,0,0.925728454,0,0,0,0,0,0
549,0,0,0.911226879,0,0,0,0,0,0
550,0,0,0.888189237,0,0,0,0,0,0
551,0,0,0.865237556,0,0,0,0,0,0
552,0,0,0.84718187,0,0,0,0,0,0
553,0,0,0.838757201,0,0,0,0,0,0
554,0,0,0.844590812,0,0,0,0,0,0
555,0,0,0.862196533,0,0,0,0,0,0
556,0,0,0.888387136,0,0,0,0,0,0
557,0,0,0.924432355,0,0,0,0,0,0
558,0,0,0.96017974,0,0,0,0,0,0
559,0,0,0.986855165,0,0,0,0,0,0
560,0,0,1,0,0,0,0,0,0
561,0,0,0.998600802,0,0,0,0,0,0
562,0,0,0.980764717,0,0,0,0,0,0
563,0,0,0.945220892,0,0,0,0,0,0
564,0,0,0.898177804,0,0,0,0,0,0
565,0,0,0.855803233,0,0,0,0,0,0
566,0,0,0.818417342,0,0,0,0,0,0
567,0,0,0.788620476,0,0,0,0,0,0
568,0,0,0.764606533,0,0,0,0,0,0
569,0,0,0.749637446,0,0,0,0,0,0
570,0,0,0.75055111,0,0,0,0,0,0
571,0,0,0.761378883,0,0,0,0,0,0
572,0,0,0.782444788,0,0,0,0,0,0
573,0,0,0.798900864,0,0,0,0,0,0
574,0,0,0.810169565,0,0,0,0,0,0
575,0,0,0.814088864,0,0,0,0,0,0
576,0,0,0.773585961,0,0,0,0,0,0
577,0,0,0.628810649,0,0,0,0,0,0
578,0,0,0.403975549,0,0,0,0,0,0
579,0,0,0.215420982,0,0,0,0,0,0
580,0,0,0.107152815,0,0,0,0,0,0
581,0,0,0.047928768,0,0,0,0,0,0
582,0,0,0.01848693,0,0,0,0,0,0
583,0,0,0.001085875,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0
586,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0
588,0,0,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0,0,0
590,0,0,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0,0,0
592,0,0,0,0,0,0,0,0,0
593,0,0,0,0,0,0,0,0,0
594,0,0,0,0,0,0,0,0,0
595,0,0,0,0,0,0,0,0,0
596,0,0,0,0,0,0,0,0,0
597,0,0,0,0,0,0,0,0,0
598,0,0,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0
600,0,0,0,0,0,0,0,0,0
601,0,0,0,0,0,0,0,0,0
602,0,0,0,0,0,0,0,0,0
603,0,0,0,0,0,0,0,0,0
604,0,0,0,0,0,0,0,0,0
605,0,0,0,0,0,0,0,0,0
606,0,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,0,0
608,0,0,0,0,0,0,0,0,0
609,0,0,0,0,0,0,0,0,0
610,0,0,0,0,0,0,0,0,0
611,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0
613,0,0,0,0,0,0,0,0,0
614,0,0,0,0,0,0,0,0,0
615,0,0,0,0,0,0,0,0,0
616,0,0,0,0,0,0,0,0,0
617,0,0,0,0,0,0,0,0,0
618,0,0,0,0,0,0,0,0,0
619,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0
621,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0
626,0,0,0,0,0,0,0,0,0
627,0,0,0,0,0,0,0,0,0
628,0,0,0,0,0,0,0,0,0
629,0,0,0,0,0,0,0,0,0
630,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0,0,0
632,0,0,0,0,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0
634,0,0,0,0,0,0,0,0,0
635,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0,0,0
639,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0,0,0
641,0,0,0,0,0,0,0,0,0
642,0,0,0,0,0,0,0,0,0
643,0,0,0,0,0,0,0,0,0
644,0,0,0,0,0,0,0,0,0
645,0,0,0,0,0,0,0,0,0
646,0,0,0,0.001415212,0,0,0,0,0
647,0,0,0,0.025902381,0,0,0,0,0
648,0,0,0,0.116511775,0,0,0,0,0
649,0,0,0,0.390886162,0,0,0,0,0
650,0,0,0,0.749593421,0,0,0,0,0
651,0,0,0,0.944858051,0,0,0,0,0
652,0,0,0,0.980111731,0,0,0,0,0
653,0,0,0,0.994063086,0,0,0,0,0
654,0,0,0,1,0,0,0,0,0
655,0,0,0,0.995454747,0,0,0,0,0
656,0,0,0,0.990527717,0,0,0,0,0
657,0,0,0,0.977334762,0,0,0,0,0
658,0,0,0,0.940559882,0,0,0,0,0
659,0,0,0,0.878949559,0,0,0,0,0
660,0,0,0,0.81629384,0,0,0,0,0
661,0,0,0,0.773459516,0,0,0,0,0
662,0,0,0,0.754487656,0,0,0,0,0
663,0,0,0,0.75991531,0,0,0,0,0
664,0,0,0,0.782634297,0,0,0,0,0
665,0,0,0,0.8101689,0,0,0,0,0
666,0,0,0,0.836129749,0,0,0,0,0
667,0,0,0,0.861254237,0,0,0,0,0
668,0,0,0,0.886091059,0,0,0,0,0
669,0,0,0,0.911387666,0,0,0,0,0
670,0,0,0,0.934051464,0,0,0,0,0
671,0,0,0,0.950420633,0,0,0,0,0
672,0,0,0,0.959257302,0,0,0,0,0
673,0,0,0,0.960395551,0,0,0,0,0
674,0,0,0,0.959133945,0,0,0,0,0
675,0,0,0,0.958090128,0,0,0,0,0
676,0,0,0,0.955274589,0,0,0,0,0
677,0,0,0,0.943764654,0,0,0,0,0
678,0,0,0,0.894907986,0,0,0,0,0
679,0,0,0,0.744263079,0,0,0,0,0
680,0,0,0,0.476777001,0,0,0,0,0
681,0,0,0,0.229603988,0,0,0,0,0
682,0,0,0,0.080091177,0,0,0,0,0
683,0,0,0,0.026170762,0,0,0,0,0
684,0,0,0,0.004152419,0,0,0,0,0
685,0,0,0,0,0,0,0,0,0
686,0,0,0,0,0,0,0,0,0
687,0,0,0,0,0,0,0,0,0
688,0,0,0,0,0,0,0,0,0
689,0,0,0,0,0,0,0,0,0
690,0,0,0,0,0,0,0,0,0
691,0,0,0,0,0,0,0,0,0
692,0,0,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0,0
694,0,0,0,0,0,0,0,0,0
695,0,0,0,0,0.028357856,0,0,0,0
